id,name,image,price,category,description,features,specs_general,,,
1,"Sardinel A10",,"$36000",Concreto,"Elemento prefabricado de concreto pequeño, usado como delimitador de zonas verdes o senderos peatonales. Ideal para urbanismo ligero.","Color: Gris natural
Peso: 130 kg
Medidas: 80 x 20 x 50 cm
","Módulo de rotura (28 días): 3.5 MPa
Resistencia: 5000 PSI
Absorción de agua: ≤ 6%
",,,
2,"Sardinel A40 ",,"$34000",Concreto,"Sardinel de concreto de mayor altura, utilizado para separar áreas peatonales de zonas vehiculares en vías urbanas.","Color: Gris
Peso: 116 kg
Medidas: 100 x 17 x 40 cm
","Módulo de rotura (28 días): 3.5 MPa
Resistencia: 5000 PSI
Absorción de agua: ≤ 6%
",,,
ss,"Sardinel A100",,"$28000",Concreto,"Pieza robusta de concreto empleada en separadores viales o bordes de andenes; soporta tránsito peatonal y liviano.","Color: Gris
Peso: 93 kg
Medidas: 60 x 20 x (35-50) cm
","Módulo de rotura (28 días): 3.5 MPa
Resistencia: 5000 PSI
Absorción de agua: ≤ 6%
",,,
4,"Sardinel A86",,"$27800",Concreto,"Elemento intermedio en tamaño, usado para delimitar calzadas, jardineras o pasos peatonales en zonas residenciales.","Color: Gris
Peso: 97 kg
Medidas: 86 x 20 x 35 cm
","Módulo de rotura (28 días): 3.5 MPa
Resistencia: 5000 PSI
Absorción de agua: ≤ 6%
",,,
5,"Sardinel A85",,"$27000",Concreto,"Prefabricado decorativo y funcional, adecuado para bordes de vías internas, zonas verdes y senderos.","Color: Gris
Peso: 97.44 kg
Medidas: 80 x 20 x 35 cm
","Módulo de rotura (28 días): 3.5 MPa
Resistencia: 5000 PSI
Absorción de agua: ≤ 6%
",,,
6,"Sardinel A105",,"$30000",Concreto,"Sardinel de alto desempeño, diseñado para proyectos urbanos con tráfico peatonal y delimitación vial duradera.","Color: Gris
Peso: 114 kg
Medidas: 80 x 40 x 27.5 cm
","Módulo de rotura (28 días): 3.5 MPa
Resistencia: 5000 PSI
Absorción de agua: ≤ 6%
",,,
7,"Bordillo A80 ",,"$27800",Concreto,"Bordillo prefabricado de concreto para andenes y calzadas. Proporciona contención y guía al flujo vehicular y peatonal.","Color: Gris
Peso: 87 kg
Medidas: 80 x 20 x 35 cm
","Módulo de rotura (28 días): 3.5 MPa
Resistencia: 5000 PSI
Absorción de agua: ≤ 6%
",,,
8,"Bordillo A81",,"$27000",Concreto,"Variante reforzada del bordillo A80, utilizada en zonas de mayor exigencia estructural como avenidas y entradas vehiculares.","Color: Gris
Peso: 82 kg
Medidas: 80 x 15 x 35 cm
","Módulo de rotura (28 días): 3.5 MPa
Resistencia: 5000 PSI
Absorción de agua: ≤ 6%
",,,
9,"Bordillos B-20; B-30",,"$19000",Concreto,"Bordillos de concreto para tráfico pesado (B-30) y tráfico medio (B-20). Usados en vías principales, parques industriales y urbanismos.","Color: Gris
Peso: B-20: 50 kg; B-30: 50 kg
Medidas: 100 x 10 x 20 cm
","Módulo de rotura (28 días): 3.5 MPa
Resistencia: 5000 PSI
Absorción de agua: ≤ 6%
",,,
10,"Bloque Liso 14",,"$4800",Concreto,"Bloque estructural de concreto de superficie plana. Se emplea en la construcción de muros portantes y divisiones.","Color: Gris
Peso: 14 kg
Medidas: 40 x 20 x 20 cm
","Rendimiento: 12.5 unidades/m²
Resistencia: 1500 PSI
Absorción de agua: ≤ 14%
",,,
